x1,x2,x3
-0.3,-0.73,-1.44
0.27,0.71,-0.21
-0.26,0.09,0.08
1.33,0.22,0.81
-2.55,0.42,-0.66
0.93,-0.77,-1.03
-1.71,0.67,-0.6
-0.32,-1.61,-3.62
-0.01,-1.18,-1.25
-0.02,-0.5,-1.03
-0.84,-0.17,-1.96
-0.6,0.6,-0.76
0.68,0.53,2.61
2.18,0.57,2.86
-0.5,-1.8,-2.59
0.74,-0.85,1.35
1.57,0.08,1.51
-0.43,0.27,-1.6
-0.63,-1.14,-2.71
0.37,-0.82,-1.49
-0.77,0.22,-1.4
0.53,0.98,2.14
0.97,0.28,1.79
0.77,-0.04,-0.19
0.58,-1.16,-0.85
1.68,0.76,2.43
0.25,-0.41,-0.36
-1.02,-1.22,-2.44
-0.17,-0.12,-1.35
0.65,1.96,1.54
0.53,-0.98,-0.8
-3.64,0.28,-5.83
0.19,-0.94,0.88
0.69,0.92,0.73
-1.66,0.84,0.64
-1.31,-2.34,-3.57
-0.14,-0.73,-1.83
0.55,-0.63,-0.57
-0.05,0.62,0.26
-1.29,0.63,-1.11
-0.39,0.01,-0.44
-1.03,1.06,0.6
1.24,-0.27,0.16
0.52,-0.02,1.35
-0.93,0.46,-1.69
-0.28,0.8,0.1
0.9,1.2,2.95
-0.82,-0.15,-1.38
2.28,-0.18,2.67
0.22,-0.1,0.57
-0.45,-0.01,0.56
1.2,0.81,2.47
1.5,0.79,2.21
-1.52,-0.55,-4.12
-0.82,-0.29,0.2
-0.74,-1.44,-3.7
-1.14,-0.05,-2.04
0.14,-0.25,-0.22
-1.14,1.29,-1.9
1.94,-0.61,2.51
-1.39,0.59,-1.5
0.12,1.19,2.12
-0.13,0.05,-1.65
2.0,-2.33,-2.07
0.85,-0.08,-0.55
-1.1,-0.97,-0.36
-0.75,-0.71,-0.95
-0.36,0.65,0.72
-0.95,-0.41,-2.39
0.33,-2.46,-3.33
0.08,-0.06,1.67
2.26,-0.71,0.8
-0.56,-0.4,-1.5
-0.23,-0.97,-0.42
-0.57,0.38,-0.69
0.37,-0.99,-1.15
1.24,0.42,2.48
0.27,-2.02,-1.4
-2.1,1.53,0.87
-0.32,-0.18,0.19
-0.65,0.07,-1.18
-0.08,-1.93,-1.58
-1.2,-1.73,-2.41
-0.13,-0.54,1.67
-0.46,-1.0,0.01
0.29,1.13,1.96
1.64,-0.91,0.85
-0.18,0.96,3.2
0.62,0.77,1.85
0.2,-0.5,-0.56
1.2,0.94,0.82
-2.22,-0.44,-2.92
0.73,0.04,1.22
-0.09,-0.65,-2.14
0.04,0.22,1.88
0.27,0.65,1.26
-0.15,0.82,1.52
0.73,-0.53,0.23
0.95,2.0,4.23
-0.37,1.16,0.36
-1.46,-1.27,-2.59
0.29,0.99,0.38
0.16,1.03,0.57
1.87,-0.14,2.15
-0.9,-1.33,-4.5
-0.27,1.17,3.28
0.43,-2.05,-0.24
0.44,2.77,2.96
-0.41,2.11,2.89
-0.19,-0.5,-0.36
-1.18,-2.26,-4.04
0.21,-0.1,-0.59
1.46,-0.49,-0.33
-0.4,1.97,1.86
0.52,0.77,2.54
0.32,0.11,2.14
0.36,0.08,1.54
-0.03,-0.39,0.43
-1.02,0.4,-0.25
-1.08,-1.69,-4.26
-1.64,0.27,-2.17
1.17,-0.14,-0.01
0.17,0.01,-0.73
0.28,0.8,0.9
0.46,0.84,1.41
-0.34,1.81,1.75
0.48,0.9,1.38
-0.26,0.65,2.09
0.26,0.09,-2.03
0.75,0.57,0.13
-0.68,-0.28,-1.44
-0.48,1.52,1.38
-0.02,-0.21,-1.23
-1.46,-2.54,-3.38
0.61,-0.96,-0.52
-2.43,-0.08,-1.12
-1.66,-0.22,-1.98
0.99,-2.4,-1.84
1.01,0.88,1.97
1.02,0.21,1.28
0.23,-1.13,-1.95
-1.39,0.17,-1.84
-0.23,0.71,0.38
-0.52,0.3,-0.26
0.39,1.08,2.98
-0.31,-0.09,-0.95
1.7,0.14,0.32
0.97,0.63,0.58
0.01,0.48,0.78
0.03,0.71,0.57
-0.8,-0.19,1.38
1.53,-1.88,1.71
-0.26,1.32,3.22
0.01,0.81,1.76
-0.12,1.45,1.35
-0.65,1.6,0.74
-0.34,-0.76,-1.61
-1.29,0.39,-1.73
-0.9,0.69,-0.64
1.09,0.12,1.58
-0.6,0.64,0.55
0.99,-0.67,-0.53
0.18,0.37,1.02
-0.12,0.47,1.18
-0.52,0.26,0.39
-0.58,0.66,-0.6
-1.23,-0.34,-0.5
-2.38,-0.67,-1.66
0.9,-2.54,-1.41
1.09,0.23,0.74
0.75,-2.09,-1.36
-0.69,-1.51,-2.9
0.09,-0.24,-0.21
0.22,-0.09,1.56
0.77,-0.06,0.79
0.65,-0.45,0.28
0.48,0.52,1.34
0.39,-1.25,0.12
-1.78,-0.47,-3.48
1.2,-0.47,-0.16
1.0,-0.6,0.67
0.61,-0.1,1.41
0.91,-1.28,-0.9
-0.47,3.09,1.3
0.53,-1.31,0.09
-1.86,0.08,-3.0
-0.52,1.09,-0.57
-0.92,0.77,-0.78
0.49,0.29,-0.76
0.04,-1.55,-1.08
-0.45,-1.13,-0.65
-0.66,1.16,-0.11
-0.9,-1.26,-3.11
0.86,-1.28,0.28
0.45,-0.81,0.21
